tweetid,content,label,target,text
1207723806950866951,whats scarier than hearing a white person talking in french i just know they saying something racist or islamophobic,1,0,whats scarier than hearing a white person talking in french i just know they saying something racist or islamophobic
1179078522507157506,<user> <user> do not copy tweets from your jihadi brothers,0,0,<user> do not copy tweets from your jihadi brothers
1178557596459913216,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> hey <user> there is a maldivian refugee living in canada who is stoking islamophobia and hatred and living off canadian welfare please look <user> up for tos violations <user> <user> <user> <user> <user>,0,0,<user> hey <user> there is a maldivian refugee living in canada who is stoking islamophobia and hatred and living off canadian welfare please look <user> up for tos violations <user>
1105851196642856960,domestic violence is domestic violence regardless of the sex involved johnny depp,0,0,domestic violence is domestic violence regardless of the sex involved johnny depp
1213672168904626176,<user> suse juat gtfo out of this country you useless islamist,2,0,<user> suse juat gtfo out of this country you useless islamist
1139177051691409409,<user> who gives a damn what this loser does he ’ ll always be a loser justvkike his father,1,0,<user> who gives a damn what this loser does he ll always be a loser justvkike his father
1082144856229756928,<user> hux is literally gay and kylo is an ally,1,0,<user> hux is literally gay and kylo is an ally
1179023958374567936,<user> <user> how about he first faces all the women he raped and groped and abused you demand that too right,0,0,<user> how about he first faces all the women he raped and groped and abused you demand that too right
1179062376588627968,<user> i remember when it was great country cooking and a hillbilly country store now its just another commercial shops,1,0,<user> i remember when it was great country cooking and a hillbilly country store now its just another commercial shops
1179014207326474240,<user> if india can not accept muslim refugees then it should not accept hindu sikh jain buddhist and christian refugees too,0,0,<user> if india can not accept muslim refugees then it should not accept hindu sikh jain buddhist and christian refugees too
1178672904067801089,i like the sad eyes bad guys mouth full of white lies,0,0,i like the sad eyes bad guys mouth full of white lies
1178788946911879169,<user> <user> is there 1 0 of thousands of muslim pakistani young girls being drugged and gang raped by gangs and families of white christian men anywhere in britain europe or on planet earth the answer is no yet in english towns a minority muslim paki population has commited rape jihad,0,0,<user> is there 1 0 of thousands of muslim pakistani young girls being drugged and gang raped by gangs and families of white christian men anywhere in britain europe or on planet earth the answer is no yet in english towns a minority muslim paki population has commited rape jihad
1179050511569428486,<user> <user> <user> <user> q people do not trust anyone confirmation of a new q authenticity would have to come from potus codemonkey can kiss my white ass,0,0,<user> q people do not trust anyone confirmation of a new q authenticity would have to come from potus codemonkey can kiss my white ass
1163479566268162049,there was a white claw in the parking lot and i was immediately triggered,0,0,there was a white claw in the parking lot and i was immediately triggered
1170443180455682049,shut this twerkin fuck with blunts lambo trash hoes,1,0,shut this twerkin fuck with blunts lambo trash hoes
1179042534510563329,gndmdm my classmate asked me if my wallpaper was my drawing i have a drawing of asami as my wallpaper now and it is f gay and i was like ah no but i like the character lmao,0,0,gndmdm my classmate asked me if my wallpaper was my drawing i have a drawing of asami as my wallpaper now and it is f gay and i was like ah no but i like the character lmao
1179097275588579329,i fucking hate you you are the one that causes most of my depression and makes me wanna self harm or die,0,0,i fucking hate you are the one that causes most of my depression and makes me wanna self harm or die
1178755144529268736,<user> <user> courtney i d love to see a picture of you and obama together what year was it that you meant him and did you ask him about bombing <number> muslim countries and destroying <number>,0,0,<user> courtney i d love to see a picture of you and obama together what year was it that you meant him and did you ask him about bombing <number> muslim countries and destroying <number>
1179003943466291200,<user> i used to hate you so much for liking hello kitty 😂 ❤️ now u my bitch,0,0,<user> i used to hate you so much for liking hello kitty now u my bitch
1181274861500538883,one day we ’ ll talk about how guys have normalized different forms of sexual harassment because “ they ’ re not at the level of rape ”,1,0,one day we ll talk about how guys have normalized different forms of sexual harassment because they re not at the level of rape
1090157360981536769,phoebe bridgers is a sociopath,0,0,phoebe bridgers is a sociopath
1212566885356785664,never try to prove yourself to anyone if they want to hate you they will just enjoy it,0,0,never try to prove yourself to anyone if they want to hate you they will just enjoy it
1215264198927835137,i haven ’ t had sex since <number> how ghetto,0,0,i haven t had sex since <number> how ghetto
1124719319324217345,if a bitch start scratching amp pulling my hair during a fight omm imma stomp on a hoe head dumb ass bitch,1,0,if a bitch start scratching amp pulling my hair during a fight omm imma stomp on a hoe head dumb ass bitch
1098931568628977665,<user> i am clearly a fucking retard,1,0,<user> i am clearly a fucking retard
1179105603005878272,jealous people are special lol like even if you kill yourself for them they will still be jealous that you are resting in peace 😪,0,0,jealous people are special lol like even if you kill yourself for them they will still be jealous that you are resting in peace
